programming-languages
Python
Bash
Java
JavaScript
C
C++
C#
Ruby
Go
Swift
Kotlin
Rust
TypeScript
PHP
MATLAB
R
Perl
Lua
Shell
HTML
CSS
SQL
Objective-C
Scala
Haskell
Groovy
Dart
VB.NET
F#
Clojure
Elixir
Erlang
Prolog
Assembly
Racket
Fortran
Ada
Julia
Scheme
PowerShell
COBOL
Lisp
Unity
Godot
Unreal Engine
