soft_skills
Communication efficace
Esprit d'équipe
Leadership
Adaptabilité
Résolution de problèmes
Pensée critique
Créativité
Gestion du temps
Autonomie
Flexibilité
Orientation client
Intelligence émotionnelle
Gestion du stress
Collaboration
Empathie
Esprit d'initiative
Prise de décision
Gestion du changement
Assertivité
Négociation
Capacité d'apprentissage rapide
Développement de soi
