bases_de_donnees
MySQL
PostgreSQL
Oracle Database
Microsoft SQL Server
SQLite
MariaDB
IBM Db2
Amazon RDS (Relational Database Service)
MongoDB
Cassandra
Redis
Couchbase
Amazon DynamoDB
Apache HBase
Neo4j (graph database)
Elasticsearch (search engine)
CouchDB
RavenDB
Prisma
