spoken_languages
francais
frangais
français
espagnol
anglais
allemand
arabe
chinois
mandarin
cantonais
japonais
hindi
russe
portugais
italien
néerlandais
suédois
polonais
coréen
danois
norvégien
grec
finnois
tchèque
turc
hongrois
thaï
thai
thailandais
indonésien
roumain
bulgare
croate
serbe
ukrainien
slovaque
lituanien
letton
estonien
slovène
hébreu
malais
persan
vietnamien
bosniaque
macédonien
albanais
swahili
tagalog
islandais
maltais
catalan
basque
galicien
irlandais
scots gaelic
luxembourgeois
esperanto
