web_frameworks
Django
Ruby on Rails
Laravel
Express.js
Flask
ASP.NET
AngularJS
Angular.js
React
React.js
ReactJS
VueJS
Vue.js
EmberJS
Ember.js
Spring Boot
Symfony
ASP.NET Core
Meteor
Play Framework
CodeIgniter
Zend Framework
CakePHP
FuelPHP
Sinatra
Nest.js
NestJS
Gatsby
Next.js
NextJS
Phoenix
NodeJS
Node.js
