design
HTML
CSS
Illustrator
Photoshop
Sketch
InDesign
Prototyping
Wireframing
User Research
Information Architecture
Interaction Design
Visual Design
Responsive Design
Mobile App Design
Web Design
Typography
Color Theory
User Interface Design
User Experience Design
Design Systems
Adobe Creative Suite
Figma
InVision
Principle
Zeplin
HTML5
CSS3
JavaScript
jQuery
Bootstrap
Sass
Responsive Web Design
Usability Testing
A/B Testing
Data-driven Design
Animate
